RSZ,IDO_MP,EURO_PER_MP,OSSZEG_EUR,FIZETESMOD
ABC-123,120,0.05,6.00,kártya
BCD-234,300,0.05,15.00,készpénz
CDE-345,450,0.05,22.50,utalás
DEF-456,200,0.05,10.00,csekk
EFG-567,150,0.05,7.50,kártya
FGH-678,600,0.05,30.00,készpénz
GHI-789,100,0.05,5.00,utalás
HIJ-890,50,0.05,2.50,csekk
IJK-901,700,0.05,35.00,kártya
JKL-012,1000,0.05,50.00,készpénz
KLM-111,320,0.05,16.00,utalás
LMN-222,430,0.05,21.50,csekk
MNO-333,220,0.05,11.00,kártya
NOP-444,510,0.05,25.50,készpénz
OPQ-555,110,0.05,5.50,utalás
PQR-666,95,0.05,4.75,csekk
QRS-777,830,0.05,41.50,kártya
RST-888,720,0.05,36.00,készpénz
STU-999,1500,0.05,75.00,utalás
TUV-000,250,0.05,12.50,csekk
UVW-101,180,0.05,9.00,kártya
VWX-202,360,0.05,18.00,készpénz
WXY-303,420,0.05,21.00,utalás
XYZ-404,510,0.05,25.50,csekk
AAA-505,640,0.05,32.00,kártya
BBB-606,710,0.05,35.50,készpénz
CCC-707,820,0.05,41.00,utalás
DDD-808,910,0.05,45.50,csekk
EEE-909,1200,0.05,60.00,kártya
FFF-010,1300,0.05,65.00,készpénz
GGG-111,1400,0.05,70.00,utalás
HHH-222,1600,0.05,80.00,csekk
III-333,1700,0.05,85.00,kártya
JJJ-444,1800,0.05,90.00,készpénz
KKK-555,1900,0.05,95.00,utalás
LLL-666,2000,0.05,100.00,csekk
MMM-777,2100,0.05,105.00,kártya
NNN-888,2200,0.05,110.00,készpénz
OOO-999,2300,0.05,115.00,utalás
PPP-000,2400,0.05,120.00,csekk
